证券代码,证券名称,行业
300319.SZ,麦捷科技,被动元件
300394.SZ,天孚通信,被动元件
300408.SZ,三环集团,被动元件
300446.SZ,乐凯新材,被动元件
300460.SZ,惠伦晶体,被动元件
600237.SH,铜峰电子,被动元件
600563.SH,法拉电子,被动元件
603678.SH,火炬电子,被动元件
603989.SH,艾华集团,被动元件
000521.SZ,美菱电器,冰箱
000921.SZ,海信科龙,冰箱
002668.SZ,奥马电器,冰箱
600336.SH,澳柯玛,冰箱
600690.SH,青岛海尔,冰箱
000012.SZ,南玻A,玻璃制造
002623.SZ,亚玛顿,玻璃制造
300093.SZ,金刚玻璃,玻璃制造
600293.SH,三峡新材,玻璃制造
600552.SH,方兴科技,玻璃制造
600586.SH,金晶科技,玻璃制造
600819.SH,耀皮玻璃,玻璃制造
600876.SH,洛阳玻璃,玻璃制造
601636.SH,旗滨集团,玻璃制造
002080.SZ,中材科技,玻纤
002201.SZ,九鼎新材,玻纤
300196.SZ,长海股份,玻纤
600176.SH,中国巨石,玻纤
603601.SH,再升科技,玻纤
000016.SZ,深康佳A,彩电
000100.SZ,TCL集团,彩电
002420.SZ,毅昌股份,彩电
002429.SZ,兆驰股份,彩电
600060.SH,海信电器,彩电
600839.SH,四川长虹,彩电
600870.SH,*ST厦华,彩电
603996.SH,中新科技,彩电
000007.SZ,全新好,餐饮
000721.SZ,西安饮食,餐饮
002186.SZ,全聚德,餐饮
002306.SZ,*ST云网,餐饮
000759.SZ,中百集团,超市
002251.SZ,步步高,超市
002264.SZ,新华都,超市
002336.SZ,人人乐,超市
002697.SZ,红旗连锁,超市
600361.SH,华联综超,超市
601116.SH,三江购物,超市
601933.SH,永辉超市,超市
002062.SZ,宏润建设,城轨建设
600820.SH,隧道股份,城轨建设
000572.SZ,海马汽车,乘用车
000625.SZ,长安汽车,乘用车
000800.SZ,一汽轿车,乘用车
000927.SZ,*ST夏利,乘用车
002594.SZ,比亚迪,乘用车
600104.SH,上汽集团,乘用车
600609.SH,金杯汽车,乘用车
600805.SH,悦达投资,乘用车
601238.SH,广汽集团,乘用车
601633.SH,长城汽车,乘用车
601777.SH,力帆股份,乘用车
002227.SZ,奥特迅,储能设备
002335.SZ,科华恒盛,储能设备
002364.SZ,中恒电气,储能设备
002518.SZ,科士达,储能设备
002580.SZ,圣阳股份,储能设备
002733.SZ,雄韬股份,储能设备
300011.SZ,鼎汉技术,储能设备
300068.SZ,南都电源,储能设备
300153.SZ,科泰电源,储能设备
300376.SZ,易事特,储能设备
300491.SZ,通合科技,储能设备
600405.SH,动力源,储能设备
600847.SH,万里股份,储能设备
000735.SZ,罗牛山,畜禽养殖
002234.SZ,民和股份,畜禽养殖
002299.SZ,圣农发展,畜禽养殖
002321.SZ,华英农业,畜禽养殖
002458.SZ,益生股份,畜禽养殖
002477.SZ,雏鹰农牧,畜禽养殖
002505.SZ,大康牧业,畜禽养殖
002714.SZ,牧原股份,畜禽养殖
002746.SZ,仙坛股份,畜禽养殖
300106.SZ,西部牧业,畜禽养殖
300313.SZ,天山生物,畜禽养殖
300498.SZ,温氏股份,畜禽养殖
600695.SH,绿庭投资,畜禽养殖
600965.SH,福成五丰,畜禽养殖
600975.SH,新五丰,畜禽养殖
002608.SZ,*ST舜船,船舶建设
300008.SZ,上海佳豪,船舶建设
300123.SZ,太阳鸟,船舶建设
600072.SH,钢构工程,船舶建设
600150.SH,中国船舶,船舶建设
600685.SH,中船防务,船舶建设
601890.SH,亚星锚链,船舶建设
601989.SH,中国重工,船舶建设
000683.SZ,远兴能源,纯碱
000707.SZ,双环科技,纯碱
000822.SZ,山东海化,纯碱
600229.SH,城市传媒,纯碱
600409.SH,三友化工,纯碱
603077.SH,和邦生物,纯碱
000795.SZ,太原刚玉,磁性材料
000970.SZ,中科三环,磁性材料
002057.SZ,中钢天源,磁性材料
002600.SZ,江粉磁材,磁性材料
300127.SZ,银河磁体,磁性材料
300224.SZ,正海磁材,磁性材料
600330.SH,天通股份,磁性材料
600366.SH,宁波韵升,磁性材料
600390.SH,金瑞科技,磁性材料
600980.SH,北矿磁材,磁性材料
000155.SZ,*ST川化,氮肥
000422.SZ,湖北宜化,氮肥
000731.SZ,四川美丰,氮肥
000830.SZ,鲁西化工,氮肥
000912.SZ,*ST天化,氮肥
000950.SZ,建峰化工,氮肥
000953.SZ,河池化工,氮肥
002556.SZ,辉隆股份,氮肥
600096.SH,云天化,氮肥
600227.SH,赤天化,氮肥
600228.SH,昌九生化,氮肥
600423.SH,柳化股份,氮肥
600426.SH,华鲁恒升,氮肥
600691.SH,*ST阳化,氮肥
002441.SZ,众业达,低压设备
002706.SZ,良信电器,低压设备
300283.SZ,温州宏丰,低压设备
300414.SZ,中光防雷,低压设备
600468.SH,百利电气,低压设备
600885.SH,宏发股份,低压设备
601877.SH,正泰电器,低压设备
000703.SZ,恒逸石化,涤纶
000936.SZ,华西股份,涤纶
000976.SZ,*ST春晖,涤纶
002015.SZ,*ST霞客,涤纶
002127.SZ,新民科技,涤纶
002206.SZ,海利得,涤纶
002427.SZ,尤夫股份,涤纶
002493.SZ,荣盛石化,涤纶
600061.SH,国投安信,涤纶
600094.SH,大名城,涤纶
600527.SH,江南高纤,涤纶
601233.SH,桐昆股份,涤纶
600184.SH,光电股份,地面兵装
600435.SH,北方导航,地面兵装
600562.SH,国睿科技,地面兵装
600760.SH,中航黑豹,地面兵装
600990.SH,四创电子,地面兵装
000922.SZ,佳电股份,电机
002176.SZ,江特电机,电机
002196.SZ,方正电机,电机
002249.SZ,大洋电机,电机
002576.SZ,通达动力,电机
300308.SZ,中际装备,电机
600580.SH,卧龙电气,电机
603988.SH,中电电机,电机
000400.SZ,许继电气,电网自动化
000682.SZ,东方电子,电网自动化
002028.SZ,思源电气,电网自动化
002090.SZ,金智科技,电网自动化
002322.SZ,理工监测,电网自动化
002339.SZ,积成电子,电网自动化
300018.SZ,中元华电,电网自动化
300222.SZ,科大智能,电网自动化
300407.SZ,凯发电气,电网自动化
300427.SZ,红相电力,电网自动化
300490.SZ,华自科技,电网自动化
600268.SH,国电南自,电网自动化
600406.SH,国电南瑞,电网自动化
600525.SH,长园集团,电网自动化
600590.SH,泰豪科技,电网自动化
601126.SH,四方股份,电网自动化
002025.SZ,航天电器,电子零部件制造
002055.SZ,得润电子,电子零部件制造
002139.SZ,拓邦股份,电子零部件制造
002179.SZ,中航光电,电子零部件制造
002384.SZ,东山精密,电子零部件制造
002402.SZ,和而泰,电子零部件制造
002475.SZ,立讯精密,电子零部件制造
002547.SZ,春兴精工,电子零部件制造
002635.SZ,安洁科技,电子零部件制造
002660.SZ,茂硕电源,电子零部件制造
002782.SZ,可立克,电子零部件制造
300083.SZ,劲胜精密,电子零部件制造
300115.SZ,长盈精密,电子零部件制造
300131.SZ,英唐智控,电子零部件制造
300136.SZ,信维通信,电子零部件制造
300227.SZ,光韵达,电子零部件制造
300256.SZ,星星科技,电子零部件制造
300279.SZ,和晶科技,电子零部件制造
300282.SZ,汇冠股份,电子零部件制造
300322.SZ,硕贝德,电子零部件制造
300328.SZ,宜安科技,电子零部件制造
300433.SZ,蓝思科技,电子零部件制造
601231.SH,环旭电子,电子零部件制造
000020.SZ,深华发A,电子系统组装
000049.SZ,德赛电池,电子系统组装
002045.SZ,国光电器,电子系统组装
002137.SZ,麦达数字,电子系统组装
002188.SZ,巴士在线,电子系统组装
002241.SZ,歌尔声学,电子系统组装
002351.SZ,漫步者,电子系统组装
002369.SZ,卓翼科技,电子系统组装
002655.SZ,共达电声,电子系统组装
300207.SZ,欣旺达,电子系统组装
002688.SZ,金河生物,动物保健
300119.SZ,瑞普生物,动物保健
600195.SH,中牧股份,动物保健
600201.SH,生物股份,动物保健
600226.SH,升华拜克,动物保健
603566.SH,普莱柯,动物保健
603718.SH,海利生物,动物保健
000416.SZ,民生控股,多业态零售
000417.SZ,合肥百货,多业态零售
000419.SZ,通程控股,多业态零售
000501.SZ,鄂武商A,多业态零售
000785.SZ,武汉中商,多业态零售
002419.SZ,天虹商场,多业态零售
300413.SZ,快乐购,多业态零售
600327.SH,大东方,多业态零售
600515.SH,海航基础,多业态零售
600694.SH,大商股份,多业态零售
600697.SH,欧亚集团,多业态零售
600729.SH,重庆百货,多业态零售
600774.SH,汉商集团,多业态零售
600778.SH,友好集团,多业态零售
600785.SH,新华百货,多业态零售
600827.SH,百联股份,多业态零售
600838.SH,上海九百,多业态零售
600858.SH,银座股份,多业态零售
601010.SH,文峰股份,多业态零售
600830.SH,香溢融通,多元金融
603300.SH,华铁科技,多元金融
000002.SZ,万科A,房地产开发
000005.SZ,世纪星源,房地产开发
000006.SZ,深振业A,房地产开发
000011.SZ,深物业A,房地产开发
000014.SZ,沙河股份,房地产开发
000018.SZ,神州长城,房地产开发
000029.SZ,深深房A,房地产开发
000031.SZ,中粮地产,房地产开发
000036.SZ,华联控股,房地产开发
000038.SZ,深大通,房地产开发
000040.SZ,宝安地产,房地产开发
000042.SZ,中洲控股,房地产开发
000043.SZ,中航地产,房地产开发
000046.SZ,泛海控股,房地产开发
000056.SZ,皇庭国际,房地产开发
000069.SZ,华侨城A,房地产开发
000090.SZ,天健集团,房地产开发
000402.SZ,金融街,房地产开发
000502.SZ,绿景控股,房地产开发
000505.SZ,珠江控股,房地产开发
000514.SZ,渝开发,房地产开发
000517.SZ,荣安地产,房地产开发
000526.SZ,银润投资,房地产开发
000534.SZ,万泽股份,房地产开发
000537.SZ,广宇发展,房地产开发
000540.SZ,中天城投,房地产开发
000558.SZ,莱茵体育,房地产开发
000567.SZ,海德股份,房地产开发
000573.SZ,粤宏远A,房地产开发
000608.SZ,阳光股份,房地产开发
000609.SZ,绵世股份,房地产开发
000616.SZ,海航投资,房地产开发
000620.SZ,新华联,房地产开发
000631.SZ,顺发恒业,房地产开发
000638.SZ,万方发展,房地产开发
000656.SZ,金科股份,房地产开发
000667.SZ,美好集团,房地产开发
000668.SZ,荣丰控股,房地产开发
000671.SZ,阳光城,房地产开发
000679.SZ,大连友谊,房地产开发
000691.SZ,亚太实业,房地产开发
000718.SZ,苏宁环球,房地产开发
000732.SZ,泰禾集团,房地产开发
000736.SZ,中房地产,房地产开发
000797.SZ,中国武夷,房地产开发
000803.SZ,金宇车城,房地产开发
000809.SZ,铁岭新城,房地产开发
000838.SZ,财信发展,房地产开发
000863.SZ,三湘股份,房地产开发
000886.SZ,海南高速,房地产开发
000897.SZ,津滨发展,房地产开发
000909.SZ,数源科技,房地产开发
000918.SZ,嘉凯城,房地产开发
000926.SZ,福星股份,房地产开发
000931.SZ,中关村,房地产开发
000961.SZ,中南建设,房地产开发
000965.SZ,天保基建,房地产开发
000979.SZ,中弘股份,房地产开发
000981.SZ,银亿股份,房地产开发
001979.SZ,招商蛇口,房地产开发
002016.SZ,世荣兆业,房地产开发
002133.SZ,广宇集团,房地产开发
002146.SZ,荣盛发展,房地产开发
002208.SZ,合肥城建,房地产开发
002244.SZ,滨江集团,房地产开发
002285.SZ,世联行,房地产开发
002305.SZ,南国置业,房地产开发
600007.SH,中国国贸,房地产开发
600048.SH,保利地产,房地产开发
600052.SH,浙江广厦,房地产开发
600067.SH,冠城大通,房地产开发
600095.SH,哈高科,房地产开发
600113.SH,浙江东日,房地产开发
600149.SH,廊坊发展,房地产开发
600158.SH,中体产业,房地产开发
600159.SH,大龙地产,房地产开发
600162.SH,香江控股,房地产开发
600173.SH,卧龙地产,房地产开发
600175.SH,美都能源,房地产开发
600185.SH,格力地产,房地产开发
600208.SH,新湖中宝,房地产开发
600223.SH,鲁商置业,房地产开发
600225.SH,天津松江,房地产开发
600239.SH,云南城投,房地产开发
600240.SH,华业资本,房地产开发
600246.SH,万通地产,房地产开发
600266.SH,北京城建,房地产开发
600322.SH,天房发展,房地产开发
600325.SH,华发股份,房地产开发
600340.SH,华夏幸福,房地产开发
600376.SH,首开股份,房地产开发
600383.SH,金地集团,房地产开发
600393.SH,东华实业,房地产开发
600503.SH,华丽家族,房地产开发
600533.SH,栖霞建设,房地产开发
600555.SH,海航创新,房地产开发
600565.SH,迪马股份,房地产开发
600568.SH,中珠控股,房地产开发
600576.SH,万家文化,房地产开发
600606.SH,绿地控股,房地产开发
600615.SH,丰华股份,房地产开发
600620.SH,天宸股份,房地产开发
600621.SH,华鑫股份,房地产开发
600622.SH,嘉宝集团,房地产开发
600638.SH,新黄浦,房地产开发
600641.SH,万业企业,房地产开发
600647.SH,同达创业,房地产开发
600649.SH,城投控股,房地产开发
600657.SH,信达地产,房地产开发
600665.SH,天地源,房地产开发
600675.SH,中华企业,房地产开发
600683.SH,京投银泰,房地产开发
600684.SH,珠江实业,房地产开发
600696.SH,匹凸匹,房地产开发
600716.SH,凤凰股份,房地产开发
600724.SH,宁波富达,房地产开发
600732.SH,*ST新梅,房地产开发
600734.SH,实达集团,房地产开发
600736.SH,苏州高新,房地产开发
600743.SH,华远地产,房地产开发
600745.SH,中茵股份,房地产开发
600748.SH,上实发展,房地产开发
600753.SH,东方银星,房地产开发
600767.SH,运盛医疗,房地产开发
600773.SH,西藏城投,房地产开发
600777.SH,新潮实业,房地产开发
600791.SH,京能置业,房地产开发
600807.SH,天业股份,房地产开发
600823.SH,世茂股份,房地产开发
600890.SH,中房股份,房地产开发
601155.SH,新城控股,房地产开发
601588.SH,北辰实业,房地产开发
600170.SH,上海建工,房屋建设
600491.SH,龙元建设,房屋建设
601668.SH,中国建筑,房屋建设
601789.SH,宁波建工,房屋建设
300500.SZ,苏州设计,房屋建设
002006.SZ,精功科技,纺织服装设备
002021.SZ,中捷资源,纺织服装设备
002722.SZ,金轮股份,纺织服装设备
300307.SZ,慈星股份,纺织服装设备
600302.SH,标准股份,纺织服装设备
600843.SH,上工申贝,纺织服装设备
002010.SZ,传化股份,纺织化学用品
002054.SZ,德美化工,纺织化学用品
002440.SZ,闰土股份,纺织化学用品
300067.SZ,安诺其,纺织化学用品
600352.SH,浙江龙盛,纺织化学用品
603188.SH,亚邦股份,纺织化学用品
000511.SZ,烯碳新材,非金属新材料
000519.SZ,江南红箭,非金属新材料
002130.SZ,沃尔核材,非金属新材料
300395.SZ,菲利华,非金属新材料
300489.SZ,中飞股份,非金属新材料
600516.SH,方大炭素,非金属新材料
603688.SH,石英股份,非金属新材料
002079.SZ,苏州固锝,分立器件
300046.SZ,台基股份,分立器件
300373.SZ,扬杰科技,分立器件
600360.SH,华微电子,分立器件
002202.SZ,金风科技,风电设备
002531.SZ,天顺风能,风电设备
300129.SZ,泰胜风能,风电设备
600290.SH,华仪电气,风电设备
600416.SH,湘电股份,风电设备
601218.SH,吉鑫科技,风电设备
601558.SH,华锐风电,风电设备
002326.SZ,永太科技,氟化工及制冷剂
002407.SZ,多氟多,氟化工及制冷剂
600160.SH,巨化股份,氟化工及制冷剂
600636.SH,三爱富,氟化工及制冷剂
002003.SZ,伟星股份,辅料
002036.SZ,汉麻产业,辅料
002098.SZ,浔兴股份,辅料
002517.SZ,恺英网络,辅料
002674.SZ,兴业科技,辅料
000902.SZ,新洋丰,复合肥
002170.SZ,芭田股份,复合肥
002274.SZ,华昌化工,复合肥
002470.SZ,金正大,复合肥
002538.SZ,司尔特,复合肥
002539.SZ,新都化工,复合肥
002588.SZ,史丹利,复合肥
002324.SZ,普利特,改性塑料
002768.SZ,国恩股份,改性材料
300221.SZ,银禧科技,改性材料
600143.SH,金发科技,改性材料
002135.SZ,东南网架,钢结构
002524.SZ,光正集团,钢结构
002541.SZ,鸿路钢构,钢结构
002545.SZ,东方铁塔,钢结构
002659.SZ,中泰桥梁,钢结构
002743.SZ,富煌钢构,钢结构
600477.SH,杭萧钢构,钢结构
600496.SH,精工钢构,钢结构
000022.SZ,深赤湾A,港口
000088.SZ,盐田港,港口
000507.SZ,珠海港,港口
000582.SZ,北部湾港,港口
000905.SZ,厦门港务,港口
002040.SZ,南京港,港口
600017.SH,日照港,港口
600018.SH,上港集团,港口
600190.SH,锦州港,港口
600279.SH,重庆港九,港口
600317.SH,营口港,港口
600575.SH,皖江物流,港口
600717.SH,天津港,港口
601000.SH,唐山港,港口
601008.SH,连云港,港口
601018.SH,宁波港,港口
601880.SH,大连港,港口
000429.SZ,粤高速A,高速公路
000548.SZ,湖南投资,高速公路
000828.SZ,东莞控股,高速公路
000900.SZ,现代投资,高速公路
000916.SZ,华北高速,高速公路
600012.SH,皖通高速,高速公路
600020.SH,中原高速,高速公路
600033.SH,福建高速,高速公路
600035.SH,楚天高速,高速公路
600106.SH,重庆路桥,高速公路
600269.SH,赣粤高速,高速公路
600350.SH,山东高速,高速公路
600368.SH,五洲交通,高速公路
600377.SH,宁沪高速,高速公路
600548.SH,深高速,高速公路
601107.SH,四川成渝,高速公路
601188.SH,龙江交通,高速公路
601518.SH,吉林高速,高速公路
000585.SZ,东北电气,高压设备
000806.SZ,银河生物,高压设备
002452.SZ,长高集团,高压设备
300140.SZ,启源装备,高压设备
300215.SZ,电科院,高压设备
600089.SH,特变电工,高压设备
600312.SH,平高电气,高压设备
600550.SH,保变电气,高压设备
601179.SH,中国西电,高压设备
000157.SZ,中联重科,工程机械
000425.SZ,徐工机械,工程机械
000528.SZ,柳工,工程机械
000680.SZ,山推股份,工程机械
000923.SZ,河北宣工,工程机械
002097.SZ,山河智能,工程机械
002459.SZ,天业通联,工程机械
600031.SH,三一重工,工程机械
600375.SH,华菱星马,工程机械
600710.SH,*ST常林,工程机械
600761.SH,安徽合力,工程机械
600815.SH,厦工股份,工程机械
600984.SH,*ST建机,工程机械
603611.SH,诺力股份,工程机械
002123.SZ,荣信股份,工控自动化
002169.SZ,智光电气,工控自动化
002184.SZ,海得控制,工控自动化
002334.SZ,英威腾,工控自动化
002527.SZ,新时达,工控自动化
300040.SZ,九洲电气,工控自动化
300048.SZ,合康变频,工控自动化
300124.SZ,汇川技术,工控自动化
300141.SZ,和顺电气,工控自动化
300208.SZ,恒顺众_,工控自动化
603015.SH,弘讯科技,工控自动化
603025.SH,大豪科技,工控自动化
002357.SZ,富临运业,公交
002627.SZ,宜昌交运,公交
600561.SH,江西长运,公交
600611.SH,大众交通,公交
600650.SH,锦江投资,公交
600662.SH,强生控股,公交
600834.SH,申通地铁,公交
002205.SZ,国统股份,管材
002372.SZ,伟星新材,管材
002457.SZ,青龙管业,管材
002619.SZ,巨龙管业,管材
002641.SZ,永高股份,管材
002671.SZ,龙泉股份,管材
002694.SZ,顾地科技,管材
300198.SZ,纳川股份,管材
603616.SH,韩建河山,管材
002218.SZ,拓日新能,光伏设备
002309.SZ,中利科技,光伏设备
002506.SZ,协鑫集成,光伏设备
002610.SZ,爱康科技,光伏设备
300029.SZ,天龙光电,光伏设备
300111.SZ,向日葵,光伏设备
300118.SZ,东方日升,光伏设备
300274.SZ,阳光电源,光伏设备
300316.SZ,晶盛机电,光伏设备
300393.SZ,中来股份,光伏设备
600151.SH,航天机电,光伏设备
600401.SH,*ST海润,光伏设备
600537.SH,亿晶光电,光伏设备
601012.SH,隆基股份,光伏设备
601908.SH,京运通,光伏设备
603806.SH,福斯特,光伏设备
002189.SZ,利达光电,光学元件
002273.SZ,水晶光电,光学元件
002456.SZ,欧菲光,光学元件
600071.SH,*ST光学,光学元件
000065.SZ,北方国际,国际工程承包
000928.SZ,中钢国际,国际工程承包
002051.SZ,中工国际,国际工程承包
600970.SH,中材国际,国际工程承包
000972.SZ,新中基,果蔬加工
300175.SZ,朗源股份,果蔬加工
600737.SH,中粮屯河,果蔬加工
600962.SH,*ST中鲁,果蔬加工
000798.SZ,中水渔业,海洋捕捞
600097.SH,开创国际,海洋捕捞
000099.SZ,中信海直,航空运输
600029.SH,南方航空,航空运输
600115.SH,东方航空,航空运输
600221.SH,海南航空,航空运输
601021.SH,春秋航空,航空运输
601111.SH,中国国航,航空运输
603885.SH,吉祥航空,航空运输
000738.SZ,中航动控,航空装备
000768.SZ,中航飞机,航空装备
002013.SZ,中航机电,航空装备
002023.SZ,海特高新,航空装备
002190.SZ,成飞集成,航空装备
002297.SZ,博云新材,航空装备
300424.SZ,航新科技,航空装备
600038.SH,中直股份,航空装备
600316.SH,洪都航空,航空装备
600372.SH,中航电子,航空装备
600391.SH,成发科技,航空装备
600893.SH,中航动力,航空装备
002151.SZ,北斗星通,航天装备
300101.SZ,振芯科技,航天装备
300456.SZ,耐威科技,航天装备
600118.SH,中国卫星,航天装备
600343.SH,航天动力,航天装备
600677.SH,航天通信,航天装备
